Year,Call,In-kind funding per project (kEUR),Cash funding per project (kEUR),Submissions,Proposals,NSE Submissions,EnvSus Submissions,LS Submissions,SSH Submissions,Acceptances,NSE Acceptances,EnvSus Acceptances,LS Acceptances,SSH Acceptances,Male Submissions,Female Submissions,Male Grants,Female Grants
2019,ETEC,110.5,170,18,8,0,0,0,0,3,0,0,0,0,17,1,2,1
2020,ETEC,212.5,253,26,15,0,0,0,0,4,0,0,0,0,23,3,4,0
2020,COVID,50,0,10,10,0,0,0,0,4,0,0,0,0,7,3,3,1
2020,ASDI,212.5,253,65,27,18,14,18,15,8,2,2,2,2,56,9,6,2
2021,SSIML,21.25,0,33,33,8,0,14,11,12,3,0,5,4,17,16,6,6
2021,ODISSEI,25.5,0,7,7,0,0,0,7,5,0,0,0,5,4,3,4,1
2021,OEC,192,41,33,26,12,0,12,9,14,5,0,5,4,22,11,9,5
2021,CIT,305,50,4,4,0,0,0,0,2,0,0,0,0,4,0,2,0
2021,SSIOpt,28.05,0,11,11,3,0,5,3,9,5,0,1,3,8,3,6,3
2022,CIT,285,30,7,7,0,0,0,0,2,0,0,0,0,7,0,2,0
2022,ODISSEI,25.5,0,8,8,0,0,0,8,5,0,0,0,5,4,4,4,1
2022,OEC,216,30,16,16,9,0,7,0,9,4,0,5,0,11,5,6,3
2022,SSIH,63.75,0,14,14,0,0,0,14,8,0,0,0,8,13,1,7,1
2022,SSIML,42.5,0,25,25,10,0,10,5,5,3,0,2,0,19,6,3,2
2022,SSISS,63.75,0,23,23,0,0,0,23,8,0,0,0,8,12,11,4,4
2022,LORENTZ,25.5,0,21,4,0,0,0,0,2,0,0,0,0,16,5,1,1
2023,OEC,235,28.1,73,32,32,0,16,25,11,4,0,3,4,54,15,9,2
2023,SS,401.75,15,32,6,0,0,0,0,2,0,0,0,0,29,3,2,0
2023,LORENTZ,25.5,0,9,4,0,0,0,0,2,0,0,0,0,6,3,1,1
2024,OEC,224,14,96,8,23,12,33,28,8,2,2,2,2,66,30,8,0
2024,LORENTZ,29.3,0,4,2,0,0,0,4,2,0,0,0,2,2,2,2,0
2025,OEC,381.5,30,63,63,17,13,17,16,11,3,3,3,2,37,18,7,4
